1347615339076|0|1|35184372090047|Witold|Ciesla|female|435456000000|1347615339076|31.183.168.247|Firefox|1282|pl;en|Witold35184372090047@gmail.com|205;1178;1760;1988;9097;9163;9317||979,2009
1347625494732|0|1|35184372089129|Ashin|Michie|female|487555200000|1347625494732|203.215.60.162|Chrome|1010|my;en|Ashin35184372089129@gmail.com;Ashin35184372089129@gmx.com;Ashin35184372089129@hotmail.com|205;564;571;577;810;973;978;1177;1668;1988;2081;2096;2107;2799;2818;2840;2845;2879;2923;2926;2963;2965;4986;5162;5342;5546;5648;5650;6368;6645;6990;7507;7522;7572;7594;8792;10107;10322||1009,2010;982,2004;892,2006;109,2004;1133,2010
1347681355202|0|1|35184372090466|Rahim|Zaland|female|611712000000|1347681355202|58.147.130.150|Firefox|953|tk;uz;en|Rahim35184372090466@hotmail.com|1671;1747;6429;16074|1582,2008|1,2009;2,2009
1347701695628|0|1|35184372089452|Manuel|Gonzalez|male|480384000000|1347701695628|148.204.205.19|Firefox|740|es;en|Manuel35184372089452@gmail.com;Manuel35184372089452@gmx.com;Manuel35184372089452@hotmail.com|140;243;468;575;580;776;1021;1452;1616;1763;1764;1987;1995;1997;2000;2034;2043;2051;2067;2087;2092;2781;2782;2783;2790;2793;2890;2950;2982;2996;3001;3101;5116;5313;5490;6395;6704;6964;7517;7545;7960;9170;9174;10197;11537;12742|5039,2004|
1347728341891|0|1|35184372089227|Carlos|Araujo|female|340243200000|1347728341891|152.92.50.216|Safari|582|pt;en|Carlos35184372089227@gmail.com;Carlos35184372089227@gmx.com;Carlos35184372089227@yahoo.com|6|1852,1998|
1347808601116|0|1|35184372090497|Eddie|Cruz|female|539654400000|1347808601116|116.68.182.20|Chrome|818|en;tl|Eddie35184372090497@gmx.com|294;524;561;565;568;588;1032;1152;1153;1154;1171;1194;1375;1669;1671;1987;1993;1998;2784;2787;2788;2790;2792;2793;2794;3089;5153;5601;6131;7338;7509;7524;9141;9289;9329;10028||963,2008;950,2006
1347836511566|0|1|35184372089522|Dith|Chau|male|374889600000|1347836511566|202.8.75.0|Firefox|1039|fr;en|Dith35184372089522@gmail.com;Dith35184372089522@hotmail.com;Dith35184372089522@yahoo.com|183;468;574;774;779;1175;1533;1990;1993;2100;2789;2813;2831;2837;2845;2919;2994;3034;3036;3092;6413;7005;8303;9063|1971,2000|195,2002;196,2001;201,2001;204,2000
1347889317628|0|1|35184372090473|Rajiv|Sharma|male|445564800000|1347889317628|58.146.106.133|Firefox|162|hi;ur;en|Rajiv35184372090473@gmx.com;Rajiv35184372090473@hotmail.com|1180;1436;1984;2011;2853;2873;2964;5797|3012,2002|547,2003;133,2003;552,2002;539,2003;540,2002
1347914750925|0|1|35184372089880|Jun|Wei|female|456364800000|1347914750925|27.34.232.26|Internet Explorer|394|zh;en|Jun35184372089880@gmail.com;Jun35184372089880@zoho.com|1938|2209,2002|912,2003;930,2004;931,2003;919,2004
1347944536412|0|1|35184372090273|Pawel|Zakrzewski|female|468115200000|1347944536412|46.29.144.193|Internet Explorer|1282|pl;en|Pawel35184372090273@gmail.com;Pawel35184372090273@gmx.com|138;142;576;582;586;777;1176;1758;1912;1987;1988;1995;2001;2040;2782;2783;2785;2786;2791;2820;2837;2954;3033;3040;5153;6413;6976;7439;7543;9143|5808,2004|
